window_start,window_end,best_model,second_model,best_rmse,best_mae,second_rmse,second_mae,rmse_gap
2013-09-13,2014-01-22,KNeighborsTimeSeries,Hidden Markov Model,16.85654811299497,14.964285714285712,11.46448007329465,9.187830687830692,5.392068039700321
2014-01-23,2014-06-02,Hidden Markov Model,KNeighborsTimeSeries,35.01353428995172,33.45959595959596,42.209909704626554,39.85227272727273,-7.196375414674833
2014-03-07,2014-07-15,Random Forest,Hidden Markov Model,74.20711298338958,71.6496590909091,109.94950886912214,109.73737373737376,-35.74239588573256
2014-04-21,2014-08-26,Random Forest,XGBoost,121.4012682636055,115.15440476190476,127.64338342164609,119.65760294596355,-6.2421151580405905
2014-06-03,2014-10-08,Random Forest,XGBoost,28.174583620985583,24.284204545454543,37.055870272599776,30.525766546075996,-8.881286651614193
2014-07-16,2014-11-19,Random Forest,Hidden Markov Model,21.088903078057758,14.656785714285707,34.35810298197911,30.95753968253967,-13.26919990392135
2014-08-27,2015-01-05,Hidden Markov Model,KNeighborsTimeSeries,23.820954808887358,21.72301587301585,10.613081550614782,8.516666666666662,13.207873258272576
2014-10-09,2015-02-18,Hidden Markov Model,Random Forest,4.439191577017546,3.647727272727273,13.367839257728026,11.334204545454543,-8.92864768071048
2014-11-20,2015-04-01,Random Forest,XGBoost,19.489400644965972,15.13809523809524,20.212801559585376,16.05828857421875,-0.723400914619404
2015-04-02,2015-08-10,Random Forest,XGBoost,24.25754909497738,19.357857142857142,30.638693069386562,22.939688546316965,-6.381143974409181
2015-05-15,2015-09-22,Random Forest,XGBoost,20.821672153071663,19.16522727272727,23.907929023402485,22.3067099831321,-3.0862568703308213
2015-06-29,2015-11-03,Random Forest,XGBoost,17.05727578316236,16.21285714285714,17.62277633407335,16.666086832682293,-0.5655005509109898
2015-08-11,2015-12-16,Random Forest,XGBoost,8.92124003432258,7.7309999999999945,9.010138363648549,7.826161193847656,-0.08889832932596953
2015-09-23,2016-02-01,KNeighborsTimeSeries,Hidden Markov Model,9.324264301375464,7.138095238095245,11.053081002474668,9.641798941798946,-1.7288167010992037
2015-11-04,2016-03-15,Random Forest,Hidden Markov Model,6.435697297292727,5.25345238095238,6.84637475034943,6.134523809523809,-0.410677453056703
2015-12-17,2016-04-27,Hidden Markov Model,KNeighborsTimeSeries,26.63973089852223,23.708838383838405,22.29290551641119,19.095454545454547,4.346825382111042
2016-06-10,2016-10-18,Random Forest,XGBoost,12.11778924026279,10.198095238095242,10.900225850713754,8.124388195219494,1.217563389549035
2016-09-06,2017-01-17,KNeighborsTimeSeries,Hidden Markov Model,18.88837425026785,17.649999999999995,22.760341225826345,22.169949494949513,-3.871966975558493
2016-10-19,2017-03-01,Random Forest,Hidden Markov Model,12.323599415626024,10.632613636363631,8.5903439301569,6.441666666666648,3.7332554854691242
2016-12-02,2017-04-12,Random Forest,Hidden Markov Model,7.148901576466138,6.0413095238095265,4.008932376669061,3.218253968253965,3.1399691997970773
2017-03-02,2017-07-10,KNeighborsTimeSeries,Hidden Markov Model,8.03450654704727,6.756818181818181,10.110862433116875,7.803030303030301,-2.0763558860696048
2017-04-13,2017-08-21,Hidden Markov Model,Random Forest,26.76720984577378,26.134126984126972,26.41059018854261,25.737738095238097,0.35661965723117106
2017-05-26,2017-10-03,Random Forest,Hidden Markov Model,10.571288100429033,9.4703409090909,13.497674359061083,13.352020202020212,-2.92638625863205
2017-07-11,2017-11-14,Hidden Markov Model,Random Forest,14.438931029577509,14.094444444444454,7.229022689659998,6.440000000000006,7.209908339917511
2017-10-04,2018-02-12,KNeighborsTimeSeries,Hidden Markov Model,28.705263330217733,27.138095238095236,26.580937179497425,25.548412698412708,2.1243261507203073
2017-11-15,2018-03-27,Random Forest,XGBoost,28.990363156614315,26.06547619047619,30.2276283432896,26.73352777390253,-1.237265186675284
2017-12-29,2018-05-09,KNeighborsTimeSeries,Hidden Markov Model,9.87292473673039,8.264285714285712,23.385844823209567,21.235714285714273,-13.512920086479177
2018-05-10,2018-09-17,Random Forest,XGBoost,16.99701611513567,14.379090909090904,27.375234831110884,23.917273781516336,-10.378218715975216
2018-06-22,2018-10-29,KNeighborsTimeSeries,Hidden Markov Model,8.186850664909164,6.561904761904755,10.522933718255612,9.125925925925934,-2.3360830533464476
2018-08-06,2018-12-12,KNeighborsTimeSeries,Hidden Markov Model,9.884886050037313,8.925000000000002,15.871191581674697,15.599999999999985,-5.9863055316373845
2018-09-18,2019-01-30,KNeighborsTimeSeries,Hidden Markov Model,7.368570643844933,6.302380952380953,6.400776380378003,5.686243386243386,0.9677942634669296
2019-01-31,2019-06-10,Random Forest,XGBoost,34.149344787342,30.82238095238096,37.591799731716186,34.059170677548366,-3.442454944374184
2019-03-15,2019-07-23,Random Forest,Hidden Markov Model,47.1942959645645,40.75136363636364,23.014169301462168,20.28409090909091,24.180126663102335
