window_start,window_end,window_center,corn_mean,corn_std,corn_skew,corn_kurtosis,temp_mean,temp_std,temp_skew,temp_kurtosis,volatility,corr_price_temp,precip_mean,recommended_model,compatibility_score
2010-01-04,2010-05-12,2010-03-10,366.025,17.18884902775274,2.005192901755331,7.16910684201065,1.84,11.471264048761345,-0.1525939681579515,1.8976062009454355,0.0167621032527452,-0.5604379015063167,2.233333333333334,Hidden Markov Model,0.831
2010-02-17,2010-06-24,2010-04-22,358.93333333333334,9.817563371926752,-0.1784139659962369,2.440494760018644,11.759444444444444,10.516343338631543,-0.8486559396377306,3.045144572736734,0.015356401483999,-0.5116551479922693,3.5166666666666666,KNeighborsTimeSeries,0.8391
2010-03-31,2010-08-06,2010-06-04,361.75555555555553,15.73137287030345,0.5739397743049944,3.441711358255242,19.79277777777778,5.411066277977859,-0.5674247670251383,2.167046369769228,0.0195385535149346,0.3011475234295023,4.84111111111111,Random Forest,0.8864
2010-05-13,2010-09-20,2010-07-19,388.3638888888889,42.0779299939028,1.090921594410058,3.7326251804279176,22.544444444444444,3.5632285925122567,-0.6148671955114781,3.303711096208628,0.0199268748734602,-0.0949602553954685,4.754444444444444,Random Forest,0.8669
2010-06-25,2010-11-01,2010-08-30,448.7472222222222,73.95843706802874,0.4099081945508548,1.883578032432628,20.38,5.480885067541146,-0.6865239953089846,2.8708654965824234,0.0233170547389905,-0.7904114296901196,3.594444444444445,Random Forest,0.8698
2010-08-09,2010-12-14,2010-10-12,508.61944444444447,60.61655626102754,-0.4915885340088281,1.873470438655293,12.86277777777778,10.19232901985306,-0.6612686101083276,2.917194463084295,0.0230037560630182,-0.6912288974367392,2.253333333333333,Random Forest,0.8732
2010-09-21,2011-01-27,2010-11-23,570.9166666666666,47.13493658838433,-0.0098826216142855,2.3850614529945484,3.091666666666667,10.63410680443308,-0.025507436785596,2.0050779835201906,0.022695001039234,-0.6799720752509678,1.1966666666666668,Random Forest,0.8856
2010-11-02,2011-03-11,2011-01-06,622.8694444444444,60.92286783737767,0.0024405824487213,1.8129965867245637,-2.857222222222222,7.905916434491548,-0.0429870976424153,2.874730623102119,0.0200801500082046,-0.2134257340433599,1.1133333333333333,Random Forest,0.8656
2010-12-15,2011-04-25,2011-02-18,676.8277777777778,50.623398080418205,0.1190268864670988,2.098168548904525,-0.8411111111111111,8.744155601230277,-0.2040703261497687,2.394037084507675,0.0209140499225938,0.5374018086294263,1.8822222222222225,Random Forest,0.8744
2011-01-28,2011-06-07,2011-04-04,712.3944444444444,36.9438911375686,-0.2013215170530637,2.127986331272751,7.066111111111111,10.483860865120302,-0.354011822043266,3.1861504105252325,0.0236222174378194,0.4629693143736916,2.745555555555556,Random Forest,0.8794
2011-03-14,2011-07-20,2011-05-17,715.1944444444445,40.70984921025375,-0.2475823689044838,2.134171486165094,16.015555555555554,8.198676395108563,-0.0467132255316485,1.910356189091282,0.0282279527285959,-0.0905036824843445,4.609999999999999,Random Forest,0.866
2011-04-26,2011-08-31,2011-06-29,712.1583333333333,34.89537834406271,0.1232125460740103,2.3698795454553445,21.83944444444445,5.8538160723786365,-0.7103814978566557,2.8184475491802794,0.0256967090889605,-0.3712418164221227,4.256666666666668,Random Forest,0.8743
