class,precision,recall,f1,support
Bearish,0.4695121951219512,0.5746268656716418,0.5167785234899329,134
Bullish,0.5147058823529411,0.2348993288590604,0.3225806451612903,149
Neutral,0.3181818181818182,0.448,0.37209302325581395,125
MACRO,,,0.4038173973023457,408
WEIGHTED,,,0.4015305543717157,408
